#{"t_start": 1751511538.7029994, "env_id": "None"}
r,l,t
0.04562,2811,3.416814
0.027722,2811,11.034782
-0.011613,2811,18.548363
-0.074514,2811,21.791112
0.027651,2811,29.708116
-0.008778,2811,37.693805
0.010566,2811,40.956325
0.003695,2811,48.291679
-0.025516,2811,55.675987
-0.042507,2811,58.97758
-0.018719,2811,66.794346
-0.006753,2811,74.215756
0.03881,2811,77.414735
-0.019514,2811,84.885308
0.015323,2811,92.459377
-0.006944,2811,95.641222
-0.006157,2811,103.107783
-0.010842,2811,110.485634
-0.017962,2811,117.890832
0.018942,2811,121.196651
0.019216,2811,129.047481
0.01238,2811,137.199325
0.03003,2811,140.44055
0.036164,2811,147.760583
0.015961,2811,155.66689
0.042415,2811,159.124762
0.049072,2811,166.698709
0.039619,2811,174.109245
0.024287,2811,177.303077
0.07002,2811,184.799814
0.068185,2811,192.373605
0.062109,2811,195.599841
0.053878,2811,202.858403
0.021187,2811,210.159683
0.0478,2811,217.654844
0.03097,2811,221.745747
0.022696,2811,229.666521
0.063148,2811,237.115334
0.062015,2811,240.379368
0.076325,2811,247.834263
0.062752,2811,255.15838
0.054036,2811,258.386276
0.048091,2811,265.583307
0.0643,2811,273.047227
0.044069,2811,276.293321
0.048901,2811,283.68512
0.040642,2811,290.929945
0.054615,2811,294.167725
0.061256,2811,301.593013
0.083988,2811,309.121405
0.057838,2811,316.529291
0.063322,2811,319.79049
0.067408,2811,327.088991
0.060908,2811,334.536573
0.078801,2811,337.766724
0.071342,2811,345.226916
0.082642,2811,352.763147
0.092031,2811,355.958257
0.055433,2811,363.434393
0.065723,2811,370.681644
0.072813,2811,373.90235
0.0606,2811,381.920108
0.069056,2811,389.997182
0.083246,2811,393.278038
0.093736,2811,400.663668
0.061114,2811,408.269695
0.086348,2811,411.490908
0.080471,2811,418.804449
0.077132,2811,426.157054
0.085258,2811,433.497338
0.090747,2811,436.742324
